iter	Logloss
0	0.6624910929
1	0.6349360531
2	0.6095788474
3	0.5874190677
4	0.5687499374
5	0.5501501325
6	0.5329148515
7	0.5168365386
8	0.5020840015
9	0.489463834
10	0.478545633
11	0.4669732178
12	0.4569751698
13	0.4470688457
14	0.4386598337
15	0.4300707087
16	0.4230019106
17	0.4166097593
18	0.4100675508
19	0.4039071353
20	0.398632564
21	0.3934575949
22	0.388056465
23	0.3845399151
24	0.3802798521
25	0.3767540757
26	0.3738413625
27	0.3699605747
28	0.366858997
29	0.3647174038
30	0.3620621627
31	0.3593748523
32	0.3573185148
33	0.3545178635
34	0.3523216059
35	0.3501152774
36	0.3479155505
37	0.3453058098
38	0.3431237889
39	0.3415311777
40	0.3402155128
41	0.33897274
42	0.3377099309
43	0.3358223421
44	0.3346673203
45	0.3332600934
46	0.3323441725
47	0.3305142744
48	0.3292251198
49	0.3281042688
50	0.3272048103
51	0.326053931
52	0.3244547087
53	0.3236639648
54	0.3228776809
55	0.3218933429
56	0.320211052
57	0.3189092874
58	0.3182632369
59	0.3174607899
60	0.3166448258
61	0.315837856
62	0.3150599954
63	0.3144854393
64	0.3136752401
65	0.3130337323
66	0.3123659968
67	0.3111610184
68	0.3103428051
69	0.3096979012
70	0.3091291483
71	0.3086515439
72	0.3078900112
73	0.3072413882
74	0.3067036964
75	0.3060106371
76	0.3053727413
77	0.3047551347
78	0.3037006756
79	0.3027310698
80	0.3019944464
81	0.3014039138
82	0.3009120436
83	0.3000565501
84	0.2996463651
85	0.2990696243
86	0.298523497
87	0.2979864795
88	0.2974498357
89	0.2964265092
90	0.2959217997
91	0.2952999639
92	0.2947528736
93	0.2944934068
94	0.2938441339
95	0.2934024463
96	0.2928704392
97	0.2925447224
98	0.2922692613
99	0.29192752
100	0.2914709115
101	0.2909881451
102	0.2900612891
103	0.2896436754
104	0.2892947652
105	0.288747754
106	0.2884022074
107	0.2879718445
108	0.287607233
109	0.2871732287
110	0.2869975803
111	0.2866395526
112	0.2859291803
113	0.2854636118
114	0.2850409144
115	0.2843766095
116	0.2840842583
117	0.283685549
118	0.2833471076
119	0.283042156
120	0.2825611278
121	0.2822513983
122	0.2819519121
123	0.2815979633
124	0.2811495138
125	0.2807375897
126	0.2804647622
127	0.2801160161
128	0.2797825351
129	0.2790663424
130	0.2787846486
131	0.2782832215
132	0.2780543964
133	0.2777284438
134	0.2775346038
135	0.2772018841
136	0.2768581149
137	0.2765164674
138	0.2761598142
139	0.2757734635
140	0.2752462299
141	0.2749897819
142	0.2746303246
143	0.2744213235
144	0.2738756817
145	0.273639576
146	0.2733124041
147	0.273004167
148	0.2727573981
149	0.2725817865
150	0.2723912593
151	0.2720977227
152	0.2718784967
153	0.2717046824
154	0.271396171
155	0.2712419618
156	0.2709858639
157	0.2705962007
158	0.2703179678
159	0.2699006606
160	0.2696875846
161	0.2694482475
162	0.2693030148
163	0.2689532483
164	0.2686776347
165	0.2684535306
166	0.2682055167
167	0.2680576516
168	0.267795768
169	0.2675077262
170	0.267127197
171	0.2666622997
172	0.2664679613
173	0.2662474412
174	0.2657507138
175	0.2654032489
176	0.2652488494
177	0.26485792
178	0.2647018235
179	0.2641092939
180	0.2634867923
181	0.2632718807
182	0.263066691
183	0.2625838195
184	0.2624233
185	0.2622162599
186	0.2619962188
187	0.2617815571
188	0.2615758244
189	0.2613489579
190	0.2611576134
191	0.2609024812
192	0.2606404982
193	0.2602207128
194	0.260058776
195	0.2597608946
196	0.2595746475
197	0.2593008445
198	0.2590578579
199	0.2588195041
200	0.2585527476
201	0.2584292938
202	0.2582377591
203	0.2579257867
204	0.2576136
205	0.2574317637
206	0.2571545072
207	0.2570259613
208	0.2567263761
209	0.256494683
210	0.2562441969
211	0.2559948802
212	0.2558255157
213	0.2556765825
214	0.2555154553
215	0.2553752874
216	0.2550563469
217	0.2547882875
218	0.2546637323
219	0.2544057665
220	0.2542161081
221	0.2539684058
222	0.2538150643
223	0.2535398801
224	0.2534081454
225	0.2531716382
226	0.253020283
227	0.2529011229
228	0.2526890007
229	0.2525324383
230	0.2523511381
231	0.2520837497
232	0.251924615
233	0.2517871249
234	0.2516357757
235	0.251477593
236	0.2510950557
237	0.250895243
238	0.2506009941
239	0.2503825954
240	0.2502818039
241	0.2501668304
242	0.2499248323
243	0.2498060958
244	0.2496061487
245	0.249447549
246	0.2493213344
247	0.2490906124
248	0.2489212125
249	0.2486532283
250	0.2484044684
251	0.2482996994
252	0.2481294306
253	0.2479010658
254	0.2477027831
255	0.2472980676
256	0.2471010378
257	0.2468765824
258	0.2465695513
259	0.246375565
260	0.2461702168
261	0.2459339432
262	0.2457189039
263	0.2453888388
264	0.2452239555
265	0.2450309695
266	0.2448675445
267	0.2446520327
268	0.2443686837
269	0.2441151
270	0.2439291438
271	0.2437145183
272	0.243531243
273	0.2432007684
274	0.2429860418
275	0.2428472912
276	0.2426727419
277	0.2424951173
278	0.2423671438
279	0.2421653762
280	0.2420374739
281	0.241833147
282	0.2414180412
283	0.2412523207
284	0.2410881822
285	0.2408136381
286	0.2406828172
287	0.2404617859
288	0.2403733374
289	0.2400124013
290	0.2397367102
291	0.2395310079
292	0.2393107829
293	0.2390513607
294	0.2388626306
295	0.2386160702
296	0.2384080215
297	0.238326894
298	0.2381668301
299	0.2379245209
300	0.2377340826
301	0.2375793395
302	0.2373389417
303	0.2372135165
304	0.236996
305	0.2367888282
306	0.2365639661
307	0.2363474958
308	0.2362560512
309	0.2360014261
310	0.2358928811
311	0.2356449514
312	0.2355155661
313	0.2353809417
314	0.2352356831
315	0.2350601852
316	0.2348185569
317	0.234284713
318	0.2341401683
319	0.2339981928
320	0.2338667966
321	0.2336344147
322	0.2333268738
323	0.2329236023
324	0.2327640803
325	0.2326077288
326	0.2324005519
327	0.2322566347
328	0.2319826543
329	0.2317020735
330	0.2315287662
331	0.2313375729
332	0.2311147536
333	0.2309353075
334	0.2307770917
335	0.2305620936
336	0.2302534508
337	0.2300041778
338	0.2298223966
339	0.229699019
340	0.229243727
341	0.2290342606
342	0.2289345662
343	0.2287577779
344	0.2286532531
345	0.2284450794
346	0.2281560488
347	0.2280732665
348	0.2277194566
349	0.2274512281
350	0.2272818557
351	0.2270022371
352	0.2267619298
353	0.2265088268
354	0.2263304082
355	0.2261912768
356	0.2259721707
357	0.2256521647
358	0.2254713455
359	0.2252690765
360	0.2250963241
361	0.224774478
362	0.2245781225
363	0.2244293804
364	0.2240756447
365	0.2236669944
366	0.2234937397
367	0.2232267071
368	0.2230749082
369	0.2229082237
370	0.2226685032
371	0.2225603265
372	0.2223445825
373	0.2221304063
374	0.2219646947
375	0.2218114065
376	0.2216534363
377	0.221369154
378	0.2211981413
379	0.2210771011
380	0.2209786347
381	0.2208596649
382	0.2207771731
383	0.2206073048
384	0.2201473863
385	0.2200337416
386	0.2197405535
387	0.2195738289
388	0.2194719588
389	0.2192886025
390	0.2191197911
391	0.2188617788
392	0.2186422257
393	0.218477401
394	0.2182567251
395	0.2180761597
396	0.2178764091
397	0.2176326799
398	0.2173663127
399	0.2172367699
400	0.2170796006
401	0.2169309905
402	0.2164404078
403	0.2162432878
404	0.2160650767
405	0.2159334217
406	0.2157686484
407	0.2155996506
408	0.2154062988
409	0.2152198773
